MYlive，CVS格式化源

香港HK,#genre#
TVB明珠台,http://url.cdnhs.store:48559/hstw.php?id=pearlhk
TVB明珠台,http://url.cdnhs.store:48559/hstw.php?id=TVBP
18台测试,http://8.129.28.239:2026/1.php?id=18台5
中国大陆,#genre#
CCTV1,http://url.cdnhs.store:48559/hstw.php?id=cctv1hd
CCTV1,http://url.cdnhs.store:48559/hstw.php?id=CCTV1HD4M
CCTV2,http://url.cdnhs.store:48559/hstw.php?id=cctv2hd
CCTV2,http://url.cdnhs.store:48559/hstw.php?id=CCTV2HD4M
CCTV3,http://url.cdnhs.store:48559/hstw.php?id=cctv3hd
CCTV3,http://url.cdnhs.store:48559/hstw.php?id=CCTV3HD4M
CCTV4,http://url.cdnhs.store:48559/hstw.php?id=cctv4hd
CCTV4,http://url.cdnhs.store:48559/hstw.php?id=CCTV4HD4M
CCTV7,http://url.cdnhs.store:48559/hstw.php?id=cctv7hd
CCTV7,http://url.cdnhs.store:48559/hstw.php?id=CCTV7HD4M
CCTV8,http://url.cdnhs.store:48559/hstw.php?id=cctv8hd
CCTV8,http://url.cdnhs.store:48559/hstw.php?id=CCTV8HD4M
CCTV9,http://url.cdnhs.store:48559/hstw.php?id=cctv9hd
CCTV9,http://url.cdnhs.store:48559/hstw.php?id=CCTV9HD4M
CCTV10,http://url.cdnhs.store:48559/hstw.php?id=cctv10hd
CCTV10,http://url.cdnhs.store:48559/hstw.php?id=CCTV10HD4M
CCTV11,http://url.cdnhs.store:48559/hstw.php?id=cctv11hd
CCTV11,http://url.cdnhs.store:48559/hstw.php?id=CCTV11HD4M
CCTV12,http://url.cdnhs.store:48559/hstw.php?id=cctv12hd
CCTV12,http://url.cdnhs.store:48559/hstw.php?id=CCTV12HD4M
CCTV17,http://url.cdnhs.store:48559/hstw.php?id=cctv17hd
CCTV17,http://url.cdnhs.store:48559/hstw.php?id=CCTV17HD4M
CETV1,http://url.cdnhs.store:48559/hstw.php?id=CETV1SD
CETV2,http://url.cdnhs.store:48559/hstw.php?id=CETV2SD
CETV3,http://url.cdnhs.store:48559/hstw.php?id=CETV3SD
CETV4,http://url.cdnhs.store:48559/hstw.php?id=CETV4SD
湖南卫视,http://url.cdnhs.store:48559/hstw.php?id=hunwshd
湖南卫视,http://url.cdnhs.store:48559/hstw.php?id=HUNWSHD4M
浙江卫视,http://url.cdnhs.store:48559/hstw.php?id=zjwshd
浙江卫视,http://url.cdnhs.store:48559/hstw.php?id=ZJWSHD4M
江苏卫视,http://url.cdnhs.store:48559/hstw.php?id=jswshd
江苏卫视,http://url.cdnhs.store:48559/hstw.php?id=JSWSHD4M
深圳卫视,http://url.cdnhs.store:48559/hstw.php?id=szwshd
深圳卫视,http://url.cdnhs.store:48559/hstw.php?id=SZWSHD4M
深圳都市,http://url.cdnhs.store:48559/hstw.php?id=szdshd
湖北卫视,http://url.cdnhs.store:48559/hstw.php?id=hubwshd
湖北卫视,http://url.cdnhs.store:48559/hstw.php?id=HUBWSHD4M
广西卫视,http://url.cdnhs.store:48559/hstw.php?id=gxwshd
东南卫视,http://url.cdnhs.store:48559/hstw.php?id=dnwshd
东南卫视,http://url.cdnhs.store:48559/hstw.php?id=DNWSHD4M
北京卫视,http://url.cdnhs.store:48559/hstw.php?id=bjwshd
北京卫视,http://url.cdnhs.store:48559/hstw.php?id=BJWSHD4M
东方卫视,http://url.cdnhs.store:48559/hstw.php?id=dfwshd
东方卫视,http://url.cdnhs.store:48559/hstw.php?id=DFWSHD4M
辽宁卫视,http://url.cdnhs.store:48559/hstw.php?id=lnwshd
辽宁卫视,http://url.cdnhs.store:48559/hstw.php?id=LNWSHD4M
重庆卫视,http://url.cdnhs.store:48559/hstw.php?id=cqwshd
重庆卫视,http://url.cdnhs.store:48559/hstw.php?id=CQWSHD4M
天津卫视,http://url.cdnhs.store:48559/hstw.php?id=tjwshd
天津卫视,http://url.cdnhs.store:48559/hstw.php?id=TJWSHD4M
安徽卫视,http://url.cdnhs.store:48559/hstw.php?id=ahwshd
安徽卫视,http://url.cdnhs.store:48559/hstw.php?id=AHWSHD4M
贵州卫视,http://url.cdnhs.store:48559/hstw.php?id=gzwshd
贵州卫视,http://url.cdnhs.store:48559/hstw.php?id=GZWSHD4M
四川卫视,http://url.cdnhs.store:48559/hstw.php?id=scwshd
四川卫视,http://url.cdnhs.store:48559/hstw.php?id=SCWSHD4M
山东卫视,http://url.cdnhs.store:48559/hstw.php?id=sdwshd
山东卫视,http://url.cdnhs.store:48559/hstw.php?id=SDWSHD4M
吉林卫视,http://url.cdnhs.store:48559/hstw.php?id=jlwshd
吉林卫视,http://url.cdnhs.store:48559/hstw.php?id=JLWSHD4M
黑龙江卫视,http://url.cdnhs.store:48559/hstw.php?id=hljwshd
黑龙江卫视,http://url.cdnhs.store:48559/hstw.php?id=HLJWSHD4M
